path,speaker,emotion,text,index
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000353_angry.wav,0011,angry,That I owe my thanks to you.,000003
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000003_neutral.wav,0011,neutral,That I owe my thanks to you.,000003
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000362_angry.wav,0011,angry,Her shoes were like fishes.,000012
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000012_neutral.wav,0011,neutral,Her shoes were like fishes.,000012
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000363_angry.wav,0011,angry,I have bunburyed all over goat on two separate occasions.,000013
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000013_neutral.wav,0011,neutral,I have bunburyed all over goat on two separate occasions.,000013
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000366_angry.wav,0011,angry,"Mister share man, I move for a division.",000016
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000016_neutral.wav,0011,neutral,"Mister share man, I move for a division.",000016
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000377_angry.wav,0011,angry,Monster made a deep bow.,000027
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000027_neutral.wav,0011,neutral,Monster made a deep bow.,000027
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000381_angry.wav,0011,angry,All smile were real and the happier the more sincere .,000031
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000031_neutral.wav,0011,neutral,All smile were real and the happier the more sincere .,000031
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000382_angry.wav,0011,angry,Who is been repeating all that hard stuff to you?,000032
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000032_neutral.wav,0011,neutral,Who is been repeating all that hard stuff to you?,000032
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000398_angry.wav,0011,angry,"You are not a runaway,who are you?",000048
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000048_neutral.wav,0011,neutral,"You are not a runaway,who are you?",000048
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000412_angry.wav,0011,angry,"Tom, went on eeyore gloomily.",000062
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000062_neutral.wav,0011,neutral,"Tom, went on eeyore gloomily.",000062
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000452_angry.wav,0011,angry,"This is Jack, the relatives of Tom.",000102
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000102_neutral.wav,0011,neutral,"This is Jack, the relatives of Tom.",000102
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000457_angry.wav,0011,angry,Tom and Michael woke up next morning.,000107
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000107_neutral.wav,0011,neutral,Tom and Michael woke up next morning.,000107
/data/home/hys4qm/ste-optimized/data/esd-angry-source/wav/0011_000463_angry.wav,0011,angry,Mister lawson saw george last night.,000113
